time,event,station,label,layers,measured_m,predicted_m,resid_mm
12:13:56,det_yaw,source,case,5,1.7993,1.7993,conf=0.96
12:13:56,det_box,source,case,5,301.2696,194.9892,ar=1.55
12:14:08,anchor,source,case,5,0.9427,,
12:14:32,contact_wrench,target,case,1,10.7337,,fx=-1.8;fy=+1.9;mx=+0.01;my=-0.06;mz=+0.069
12:14:32,contact_yaw,target,case,1,112.0807,111.8072,+0.27deg
12:14:32,anchor,target,case,1,0.8680,,
12:14:35,place_chk_x,target,case,1,0.7500,0.7479,+2.1
12:14:35,place_chk_y,target,case,1,-0.0034,-0.0011,-2.3
12:14:35,place_chk_yaw,target,case,1,0.7788,1.7993,-1.02deg
12:14:41,plane,source,battery_1,5,0.7667,0.7790,-12.3
12:14:44,det_yaw,source,battery_1,5,2.2298,2.2298,conf=0.96
12:14:44,det_box,source,battery_1,5,296.7140,202.9552,ar=1.46
12:14:44,dual_x,source,battery_1,5,0.7109,0.7044,+6.5
12:14:44,dual_y,source,battery_1,5,0.0777,0.0772,+0.5
12:14:44,dual_yaw,source,battery_1,5,2.4094,2.2507,+0.16deg
12:14:53,anchor,source,battery_1,5,0.9451,,
12:14:59,plane,target,battery_1,1,0.6920,0.7238,-31.8
12:15:01,det_yaw,target,battery_1,1,1.2529,1.2529,conf=0.96
12:15:01,det_box,target,battery_1,1,327.6590,214.3167,ar=1.53
12:15:01,dual_x,target,battery_1,1,0.7528,0.7438,+9.0
12:15:01,dual_y,target,battery_1,1,0.0839,0.0794,+4.4
12:15:01,dual_yaw,target,battery_1,1,1.2497,1.5762,-0.33deg
12:15:12,contact_wrench,target,battery_1,1,10.2850,,fx=+0.4;fy=+1.1;mx=-0.17;my=-0.07;mz=+0.134
12:15:12,contact_yaw,target,battery_1,1,111.4904,111.2607,+0.23deg
12:15:12,anchor,target,battery_1,1,0.8860,,
12:15:18,plane,source,battery_2,5,0.7667,0.7790,-12.3
12:15:21,det_yaw,source,battery_2,5,2.2690,2.2690,conf=0.96
12:15:21,det_box,source,battery_2,5,288.0074,199.5977,ar=1.44
12:15:21,dual_x,source,battery_2,5,0.7005,0.6972,+3.3
12:15:21,dual_y,source,battery_2,5,-0.0790,-0.0767,-2.2
12:15:21,dual_yaw,source,battery_2,5,1.9215,2.3287,-0.41deg
12:15:31,anchor,source,battery_2,5,0.9411,,
12:15:37,plane,target,battery_2,1,0.6920,0.7238,-31.8
12:15:37,det_yaw,target,battery_2,1,0.7809,0.7809,conf=0.96
12:15:37,det_box,target,battery_2,1,321.8491,213.1730,ar=1.51
12:15:37,dual_x,target,battery_2,1,0.7495,0.7348,+14.7
12:15:37,dual_y,target,battery_2,1,-0.0751,-0.0669,-8.2
12:15:37,dual_yaw,target,battery_2,1,0.5874,1.2280,-0.64deg
12:15:48,contact_wrench,target,battery_2,1,10.7817,,fx=-1.0;fy=+4.2;mx=+0.36;my=+0.09;mz=+0.190
12:15:48,contact_yaw,target,battery_2,1,111.0310,110.7888,+0.24deg
12:15:48,anchor,target,battery_2,1,0.8834,,
12:15:54,plane,source,case,4,0.7529,0.7652,-12.3
12:15:59,det_yaw,source,case,4,0.5605,0.5605,conf=0.96
12:15:59,det_box,source,case,4,294.9745,203.8191,ar=1.45
12:15:59,dual_x,source,case,4,0.6953,0.6895,+5.8
12:15:59,dual_y,source,case,4,-0.0605,-0.0590,-1.5
12:15:59,dual_yaw,source,case,4,0.7414,0.3860,+0.36deg
12:16:09,pitch,source,case,4,0.0143,0.0138,+0.5
12:16:09,contact,source,case,4,0.9284,0.9289,-0.5
12:16:15,plane,target,case,2,0.7058,0.7376,-31.8
12:16:15,det_yaw,target,case,2,0.7390,0.7390,conf=0.96
12:16:15,det_box,target,case,2,305.3803,207.8734,ar=1.47
12:16:15,dual_x,target,case,2,0.7109,0.6988,+12.1
12:16:15,dual_y,target,case,2,-0.0475,-0.0409,-6.6
12:16:15,dual_yaw,target,case,2,0.8689,0.1886,+0.68deg
12:16:29,contact_wrench,target,case,2,10.4084,,fx=-1.5;fy=-0.9;mx=-0.48;my=-0.06;mz=+0.022
12:16:29,contact_yaw,target,case,2,110.9661,110.7469,+0.22deg
12:16:29,recover_step,target,case,2,,,a1;force;dyaw=+0.0deg;dxy=(-3.0/-0.4)mm;contact;z=+5.3mm;fx=-0.9;fy=-0.7;mz=-0.029
