time,event,station,label,layers,measured_m,predicted_m,resid_mm
16:58:44,det_yaw,source,case,3,0.6388,0.6388,conf=0.95
16:58:44,det_box,source,case,3,282.6127,194.4610,ar=1.45
16:58:51,anchor,source,case,3,0.7680,,
16:59:02,contact_wrench,target,case,1,9.8290,,fx=+0.8;fy=+1.6;mx=-0.90;my=+0.01;mz=-0.050
16:59:02,contact_yaw,target,case,1,-179.3000,-179.3665,+0.07deg
16:59:02,recover_step,target,case,1,,,a1;corner;dyaw=+0.0deg;dxy=(-34.0/+41.6)mm;contact;z=-40.3mm;fx=+0.8;fy=+1.6;mz=n/a
16:59:02,anchor,target,case,1,0.7285,,
16:59:04,place_chk_x,target,case,1,0.9540,0.9038,+50.2
16:59:04,place_chk_y,target,case,1,0.0377,0.0442,-6.5
16:59:04,place_chk_yaw,target,case,1,7.3995,0.6388,+6.76deg
16:59:06,plane,source,battery_1,3,0.6130,0.6414,-28.4
16:59:06,det_yaw,source,battery_1,3,2.1026,2.1026,conf=0.95
16:59:06,det_box,source,battery_1,3,295.1719,202.9318,ar=1.45
16:59:06,dual_x,source,battery_1,3,0.9123,0.9004,+11.9
16:59:06,dual_y,source,battery_1,3,0.0834,0.0801,+3.3
16:59:06,dual_yaw,source,battery_1,3,2.2022,1.6114,+0.59deg
16:59:06,depth_pick,source,battery_1,3,0.7770,0.7680,+9.0
16:59:20,anchor,source,battery_1,3,0.7675,,
16:59:25,det_yaw,divert,battery_1,1,175.8774,-4.1226,conf=0.95
16:59:25,det_box,divert,battery_1,1,303.2642,206.7728,ar=1.47
16:59:40,place_misseat,divert,battery_1,1,0.7424,0.7688,-26.4
16:59:43,plane,source,battery_2,3,0.6130,0.6414,-28.4
16:59:43,det_yaw,source,battery_2,3,1.1556,1.1556,conf=0.95
16:59:43,det_box,source,battery_2,3,293.6063,202.9953,ar=1.45
16:59:43,dual_x,source,battery_2,3,0.9052,0.8957,+9.5
16:59:43,dual_y,source,battery_2,3,-0.0098,-0.0068,-3.0
16:59:43,dual_yaw,source,battery_2,3,1.0384,1.5841,-0.55deg
16:59:43,depth_pick,source,battery_2,3,0.7742,0.7680,+6.2
16:59:49,anchor,source,battery_2,3,0.7680,,
16:59:52,plane,target,battery_2,1,0.5735,0.6138,-40.3
16:59:56,det_yaw,target,battery_2,1,3.8560,3.8560,conf=0.94
16:59:56,det_box,target,battery_2,1,326.1915,210.5874,ar=1.55
16:59:56,dual_x,target,battery_2,1,0.8754,0.8533,+22.1
16:59:56,dual_y,target,battery_2,1,-0.0814,-0.0796,-1.8
16:59:56,dual_yaw,target,battery_2,1,4.0380,3.7572,+0.28deg
17:00:07,contact_wrench,target,battery_2,1,7.0750,,fx=-4.0;fy=+2.1;mx=-0.40;my=-0.81;mz=+0.571
17:00:07,contact_yaw,target,battery_2,1,-175.5402,-175.5764,+0.04deg
17:00:07,recover_step,target,battery_2,1,,,a1;corner;dyaw=+0.0deg;dxy=(-35.2/+27.4)mm;contact;z=+1.3mm;fx=-7.0;fy=+4.8;mz=n/a
17:00:07,anchor,target,battery_2,1,0.7448,,
17:00:10,plane,source,case,2,0.5992,0.6276,-28.4
17:00:14,det_yaw,source,case,2,179.1484,-0.8516,conf=0.96
17:00:14,det_box,source,case,2,300.5035,203.9836,ar=1.47
17:00:14,dual_x,source,case,2,0.8995,0.8893,+10.2
17:00:14,dual_y,source,case,2,-0.0291,-0.0260,-3.2
17:00:14,dual_yaw,source,case,2,179.0324,179.2615,-0.23deg
17:00:21,pitch,source,case,2,0.0150,0.0138,+1.2
17:00:21,contact,source,case,2,0.7530,0.7542,-1.2
17:00:23,plane,target,case,2,0.5873,0.6276,-40.3
17:00:23,det_yaw,target,case,2,5.2024,5.2024,conf=0.95
17:00:23,det_box,target,case,2,320.8293,210.8325,ar=1.52
17:00:23,dual_x,target,case,2,0.9143,0.8937,+20.5
17:00:23,dual_y,target,case,2,-0.0089,-0.0085,-0.4
17:00:23,dual_yaw,target,case,2,5.0337,5.4101,-0.38deg
17:00:31,contact_wrench,target,case,2,47.8980,,fx=+12.8;fy=-11.5;mx=+1.48;my=+2.60;mz=-0.253
17:00:31,contact_yaw,target,case,2,-174.6901,-174.8029,+0.11deg
17:00:31,recover_step,target,case,2,,,a1;corner;dyaw=+0.0deg;dxy=(-44.0/+42.0)mm;contact;z=-7.5mm;fx=-0.4;fy=+2.3;mz=n/a
17:00:31,pitch,target,case,2,0.0168,0.0138,+3.0
17:00:31,contact,target,case,2,0.7453,0.7423,+3.0
17:00:33,place_chk_x,target,case,2,0.9247,0.9072,+17.5
17:00:33,place_chk_y,target,case,2,-0.0165,-0.0083,-8.2
17:00:33,place_chk_yaw,target,case,2,5.7143,5.2024,+0.51deg
17:00:35,plane,source,battery_1,2,0.5992,0.6276,-28.4
17:00:35,det_yaw,source,battery_1,2,1.6910,1.6910,conf=0.95
17:00:35,det_box,source,battery_1,2,299.3021,200.7749,ar=1.49
17:00:35,dual_x,source,battery_1,2,0.9017,0.8897,+12.0
17:00:35,dual_y,source,battery_1,2,0.1485,0.1435,+5.0
17:00:35,dual_yaw,source,battery_1,2,1.8172,1.2245,+0.59deg
17:00:35,depth_pick,source,battery_1,2,0.7602,0.7530,+7.2
17:00:45,pitch,source,battery_1,2,0.0163,0.0138,+2.5
17:00:45,contact,source,battery_1,2,0.7512,0.7537,-2.5
17:00:47,plane,target,battery_1,2,0.5873,0.6276,-40.3
17:00:51,det_yaw,target,battery_1,2,1.6174,1.6174,conf=0.94
17:00:51,det_box,target,battery_1,2,325.1711,211.8820,ar=1.53
17:00:51,dual_x,target,battery_1,2,0.9319,0.9086,+23.2
17:00:51,dual_y,target,battery_1,2,0.1329,0.1268,+6.0
17:00:51,dual_yaw,target,battery_1,2,1.5315,1.0903,+0.44deg
17:01:02,contact_wrench,target,battery_1,2,4.2360,,fx=-2.9;fy=+3.3;mx=-0.54;my=-0.59;mz=-0.793
17:01:02,contact_yaw,target,battery_1,2,-177.7880,-177.8150,+0.03deg
17:01:02,recover_step,target,battery_1,2,,,a1;corner;dyaw=+0.0deg;dxy=(-36.4/+14.0)mm;contact;z=-1.2mm;fx=-4.0;fy=+4.6;mz=n/a
17:01:02,anchor,target,battery_1,2,0.7592,,
17:01:05,plane,source,battery_2,2,0.5992,0.6276,-28.4
17:01:07,det_yaw,source,battery_2,2,174.6476,-5.3524,conf=0.94
17:01:07,det_box,source,battery_2,2,306.8467,202.2316,ar=1.52
17:01:07,dual_x,source,battery_2,2,0.8894,0.8765,+12.9
17:01:07,dual_y,source,battery_2,2,-0.0766,-0.0720,-4.6
17:01:07,dual_yaw,source,battery_2,2,175.2863,174.0812,+1.21deg
17:01:07,depth_pick,source,battery_2,2,0.7583,0.7530,+5.3
17:01:14,pitch,source,battery_2,2,0.0166,0.0138,+2.8
17:01:14,contact,source,battery_2,2,0.7514,0.7542,-2.8
17:01:21,det_yaw,divert,battery_2,1,177.1344,-2.8656,conf=0.95
17:01:21,det_box,divert,battery_2,1,293.6213,199.0671,ar=1.47
17:01:34,plane,source,case,1,0.5854,0.6138,-28.4
17:01:40,det_yaw,source,case,1,178.5199,-1.4801,conf=0.95
17:01:40,det_box,source,case,1,314.7982,199.4046,ar=1.58
17:01:40,dual_x,source,case,1,0.8739,0.8585,+15.4
17:01:40,dual_y,source,case,1,-0.0874,-0.0855,-2.0
17:01:40,dual_yaw,source,case,1,178.6553,179.2298,-0.57deg
17:01:47,pitch,source,case,1,0.0159,0.0138,+2.1
17:01:47,contact,source,case,1,0.7362,0.7404,-4.2
17:01:49,plane,target,case,3,0.6011,0.6414,-40.3
17:01:49,det_yaw,target,case,3,4.2352,4.2352,conf=0.94
17:01:49,det_box,target,case,3,310.4820,209.4315,ar=1.48
17:01:49,dual_x,target,case,3,0.8782,0.8598,+18.4
17:01:49,dual_y,target,case,3,-0.0650,-0.0578,-7.1
17:01:49,dual_yaw,target,case,3,4.0795,4.6685,-0.59deg
17:01:57,contact_wrench,target,case,3,17.7110,,fx=+7.0;fy=-9.1;mx=+1.36;my=+1.64;mz=+0.025
17:01:57,contact_yaw,target,case,3,-175.5826,-175.7701,+0.19deg
17:01:57,recover_step,target,case,3,,,a1;corner;dyaw=+0.0deg;dxy=(-18.0/+42.0)mm;contact;z=-6.6mm;fx=+0.3;fy=+1.8;mz=n/a
17:01:57,pitch,target,case,3,0.0160,0.0138,+2.2
17:01:57,contact,target,case,3,0.7606,0.7561,+4.4
17:01:59,place_chk_x,target,case,3,0.8842,0.8683,+15.9
17:01:59,place_chk_y,target,case,3,-0.0720,-0.0644,-7.6
17:01:59,place_chk_yaw,target,case,3,4.1269,4.2352,-0.11deg
