time,event,station,label,layers,measured_m,predicted_m,resid_mm
15:37:28,det_yaw,source,case,4,0.6744,0.6744,conf=0.97
15:37:28,det_box,source,case,4,297.7306,201.8928,ar=1.47
15:37:37,anchor,source,case,4,0.9287,,
15:37:58,contact_wrench,target,case,1,4.7979,,fx=+2.9;fy=+9.8;mx=-2.49;my=+0.86;mz=-0.514
15:37:58,contact_yaw,target,case,1,110.7128,110.6823,+0.03deg
15:37:58,place_misseat,target,case,1,0.8677,,
15:38:00,place_chk_x,target,case,1,0.9961,0.9952,+0.9
15:38:00,place_chk_y,target,case,1,0.0151,0.0433,-28.2
15:38:00,place_chk_yaw,target,case,1,2.2735,0.6744,+1.60deg
15:38:03,plane,source,battery_1,4,0.7737,0.7752,-1.5
15:38:04,det_yaw,source,battery_1,4,3.5446,3.5446,conf=0.96
15:38:04,det_box,source,battery_1,4,283.4034,191.9871,ar=1.48
15:38:04,dual_x,source,battery_1,4,0.9643,0.9661,-1.8
15:38:04,dual_y,source,battery_1,4,0.1249,0.1242,+0.6
15:38:04,dual_yaw,source,battery_1,4,1.8446,1.8082,+0.04deg
15:38:25,anchor,source,battery_1,4,0.9291,,
15:38:29,det_yaw,target,battery_1,1,2.6502,2.6502,conf=0.57
15:38:29,det_box,target,battery_1,1,272.9445,203.9530,ar=1.34
15:38:47,contact_wrench,target,battery_1,1,5.0646,,fx=+1.9;fy=+1.9;mx=-0.66;my=+0.80;mz=-0.062
15:38:47,contact_yaw,target,battery_1,1,113.2288,113.2310,-0.00deg
15:38:47,place_misseat,target,battery_1,1,0.9104,0.8888,+21.6
15:38:49,plane,source,battery_2,4,0.7737,0.7752,-1.5
15:38:52,det_yaw,source,battery_2,4,1.3821,1.3821,conf=0.95
15:38:52,det_box,source,battery_2,4,276.8629,188.3649,ar=1.47
15:38:52,dual_x,source,battery_2,4,0.9888,0.9867,+2.1
15:38:52,dual_y,source,battery_2,4,-0.0561,-0.0558,-0.3
15:38:52,dual_yaw,source,battery_2,4,0.4621,0.6658,-0.20deg
15:39:05,anchor,source,battery_2,4,0.9274,,
15:39:11,divert_miss,divert,battery_2,1,,,
15:39:20,det_yaw,target,battery_2,1,179.2980,-0.7020,conf=0.90
15:39:20,det_box,target,battery_2,1,269.5037,204.3953,ar=1.32
