time,event,station,label,layers,measured_m,predicted_m,resid_mm
14:15:18,det_yaw,source,case,4,179.1650,-0.8350,conf=0.96
14:15:18,det_box,source,case,4,278.2134,192.5525,ar=1.44
14:15:25,anchor,source,case,4,0.9315,,
14:15:39,contact_wrench,target,case,1,5.5153,,fx=+4.2;fy=+1.6;mx=+0.10;my=-0.91;mz=+0.048
14:15:39,contact_yaw,target,case,1,109.0875,109.1729,-0.09deg
14:15:39,recover_step,target,case,1,,,a1;corner;dyaw=+0.0deg;dxy=(-31.7/+11.5)mm;contact;z=+2.3mm;fx=+4.9;fy=+1.5;mz=n/a
14:15:39,anchor,target,case,1,0.8723,,
14:15:41,place_chk_x,target,case,1,0.8483,0.8304,+17.9
14:15:41,place_chk_y,target,case,1,0.0664,0.0992,-32.9
14:15:41,place_chk_yaw,target,case,1,174.3965,-0.8350,-4.77deg
14:15:44,plane,source,battery_1,4,0.7555,0.7752,-19.7
14:15:44,det_yaw,source,battery_1,4,177.2630,-2.7370,conf=0.97
14:15:44,det_box,source,battery_1,4,284.7625,199.5447,ar=1.43
14:15:44,dual_x,source,battery_1,4,0.9707,0.9519,+18.7
14:15:44,dual_y,source,battery_1,4,0.0648,0.0658,-1.0
14:15:44,dual_yaw,source,battery_1,4,176.8897,176.3745,+0.52deg
14:15:50,anchor,source,battery_1,4,0.9310,,
14:15:52,plane,target,battery_1,1,0.6963,0.7338,-37.5
14:15:56,det_yaw,target,battery_1,1,177.3221,-2.6779,conf=0.96
14:15:56,det_box,target,battery_1,1,331.6274,225.9469,ar=1.47
14:15:56,dual_x,target,battery_1,1,0.8460,0.8323,+13.6
14:15:56,dual_y,target,battery_1,1,0.0502,0.0501,+0.0
14:15:56,dual_yaw,target,battery_1,1,177.1863,177.1282,+0.06deg
14:16:08,contact_wrench,target,battery_1,1,4.4358,,fx=-0.7;fy=-0.3;mx=+0.14;my=+0.10;mz=+0.023
14:16:08,contact_yaw,target,battery_1,1,107.9166,107.9029,+0.01deg
14:16:08,place_misseat,target,battery_1,1,0.9047,0.8723,+32.4
14:16:11,plane,source,battery_2,4,0.7555,0.7752,-19.7
