time,event,station,label,layers,measured_m,predicted_m,resid_mm
11:41:02,det_yaw,source,case,4,178.2026,-1.7974,conf=0.97
11:41:02,det_box,source,case,4,298.9583,200.6048,ar=1.49
11:41:08,anchor,source,case,4,0.9287,,
11:41:30,contact_wrench,target,case,1,7.9451,,fx=+2.4;fy=+2.3;mx=+0.31;my=-0.88;mz=-0.137
11:41:30,contact_yaw,target,case,1,108.3494,108.2105,+0.14deg
11:41:30,place_misseat,target,case,1,0.8850,,
11:41:32,place_chk_x,target,case,1,0.8490,0.8547,-5.7
11:41:32,place_chk_y,target,case,1,0.0669,0.0168,+50.0
11:41:32,place_chk_yaw,target,case,1,170.0016,-1.7974,-8.20deg
11:41:35,plane,source,battery_1,4,0.7737,0.7752,-1.5
11:41:37,det_yaw,source,battery_1,4,0.0262,0.0262,conf=0.95
11:41:37,det_box,source,battery_1,4,301.7294,191.1502,ar=1.58
11:41:37,dual_x,source,battery_1,4,0.8797,0.8777,+2.0
11:41:37,dual_y,source,battery_1,4,0.0864,0.0872,-0.8
11:41:37,dual_yaw,source,battery_1,4,0.3563,0.3753,-0.02deg
