time,event,station,label,layers,measured_m,predicted_m,resid_mm
10:19:39,det_yaw,source,case,5,2.5371,2.5371,conf=0.96
10:19:39,det_box,source,case,5,274.0416,186.1482,ar=1.47
10:19:52,anchor,source,case,5,0.9501,,
10:20:15,contact_wrench,target,case,1,11.4741,,fx=-1.3;fy=+7.2;mx=+1.11;my=-0.07;mz=-0.053
10:20:15,contact_yaw,target,case,1,112.8003,112.5450,+0.26deg
10:20:15,anchor,target,case,1,0.8759,,
10:20:25,plane,source,battery_1,5,0.7741,0.7790,-4.9
10:20:31,det_yaw,source,battery_1,5,0.9525,0.9525,conf=0.96
10:20:31,det_box,source,battery_1,5,292.0492,194.7563,ar=1.50
10:20:31,dual_x,source,battery_1,5,0.7653,0.7641,+1.2
10:20:31,dual_y,source,battery_1,5,0.1100,0.1094,+0.6
10:20:31,dual_yaw,source,battery_1,5,1.0001,0.5970,+0.40deg
10:20:42,anchor,source,battery_1,5,0.9475,,
10:20:48,plane,target,battery_1,1,0.6999,0.7238,-23.9
