time,event,station,label,layers,measured_m,predicted_m,resid_mm
14:43:33,det_yaw,source,case,4,179.1660,-0.8340,conf=0.96
14:43:33,det_box,source,case,4,289.2654,187.1561,ar=1.55
14:43:39,anchor,source,case,4,0.9317,,
14:43:53,contact_wrench,target,case,1,4.3259,,fx=+5.2;fy=-1.8;mx=-0.45;my=-1.07;mz=+0.065
14:43:53,contact_yaw,target,case,1,108.4863,109.1739,-0.69deg
14:43:53,recover_step,target,case,1,,,a1;corner;dyaw=+0.0deg;dxy=(-91.6/+31.2)mm;contact;z=+1.3mm;fx=+4.5;fy=-1.9;mz=n/a
14:43:53,anchor,target,case,1,0.8713,,
14:43:55,place_chk_x,target,case,1,0.9650,0.9752,-10.2
14:43:55,place_chk_y,target,case,1,0.0426,0.0803,-37.7
14:43:55,place_chk_yaw,target,case,1,176.6525,-0.8340,-2.51deg
14:43:58,plane,source,battery_1,4,0.7557,0.7752,-19.5
14:44:00,det_yaw,source,battery_1,4,1.4304,1.4304,conf=0.95
14:44:00,det_box,source,battery_1,4,301.4977,191.6894,ar=1.57
14:44:00,dual_x,source,battery_1,4,0.9642,0.9495,+14.7
14:44:00,dual_y,source,battery_1,4,0.0830,0.0820,+1.0
14:44:00,dual_yaw,source,battery_1,4,1.2741,179.7568,+1.52deg
14:44:06,anchor,source,battery_1,4,0.9314,,
14:44:09,plane,target,battery_1,1,0.6953,0.7338,-38.5
14:44:09,det_yaw,target,battery_1,1,177.2336,-2.7664,conf=0.93
14:44:09,det_box,target,battery_1,1,310.1192,215.2245,ar=1.44
14:44:09,dual_x,target,battery_1,1,0.9814,0.9601,+21.3
14:44:09,dual_y,target,battery_1,1,0.1039,0.0944,+9.5
14:44:09,dual_yaw,target,battery_1,1,177.1595,177.8808,-0.72deg
14:44:28,contact_wrench,target,battery_1,1,3.0345,,fx=+1.4;fy=-5.2;mx=-1.04;my=-0.15;mz=-0.035
14:44:28,contact_yaw,target,battery_1,1,107.7176,107.8144,-0.10deg
14:44:28,place_misseat,target,battery_1,1,0.8913,0.8713,+20.0
