time,event,station,label,layers,measured_m,predicted_m,resid_mm
14:55:24,det_yaw,source,case,4,175.5145,-4.4855,conf=0.96
14:55:24,det_box,source,case,4,314.4799,202.6301,ar=1.55
14:55:32,anchor,source,case,4,0.9308,,
14:55:56,contact_wrench,target,case,1,15.8280,,fx=+4.4;fy=-1.0;mx=-1.07;my=-0.56;mz=+0.072
14:55:56,contact_yaw,target,case,1,105.6325,105.5224,+0.11deg
14:55:56,recover_step,target,case,1,,,a1;corner;dyaw=+0.0deg;dxy=(-16.8/+21.0)mm;contact;z=-8.3mm;fx=+2.2;fy=-1.9;mz=n/a
14:55:56,anchor,target,case,1,0.8617,,
14:55:58,place_chk_x,target,case,1,0.8987,0.8303,+68.4
14:55:58,place_chk_y,target,case,1,0.0434,0.1011,-57.7
14:55:58,place_chk_yaw,target,case,1,175.6556,-4.4855,+0.14deg
14:56:01,plane,source,battery_1,4,0.7758,0.7752,+0.6
14:56:03,det_yaw,source,battery_1,4,175.7671,-4.2329,conf=0.94
14:56:03,det_box,source,battery_1,4,292.1262,197.8223,ar=1.48
14:56:04,dual_x,source,battery_1,4,1.0086,1.0089,-0.3
14:56:04,dual_y,source,battery_1,4,0.1295,0.1297,-0.2
14:56:04,dual_yaw,source,battery_1,4,175.7601,175.8054,-0.05deg
14:56:11,anchor,source,battery_1,4,0.9307,,
14:56:19,det_yaw,divert,battery_1,1,173.7102,-6.2898,conf=0.95
14:56:19,det_box,divert,battery_1,1,305.3053,214.9375,ar=1.42
14:56:33,plane,source,battery_2,4,0.7758,0.7752,+0.6
14:56:36,det_yaw,source,battery_2,4,173.0468,-6.9532,conf=0.96
14:56:36,det_box,source,battery_2,4,299.1019,199.4274,ar=1.50
14:56:36,dual_x,source,battery_2,4,1.0138,1.0148,-1.0
14:56:36,dual_y,source,battery_2,4,-0.0658,-0.0650,-0.8
14:56:36,dual_yaw,source,battery_2,4,173.6363,173.1312,+0.51deg
14:56:43,anchor,source,battery_2,4,0.9301,,
14:56:46,plane,target,battery_2,1,0.7067,0.7338,-27.1
14:56:58,det_yaw,target,battery_2,1,173.8260,-6.1740,conf=0.92
14:56:58,det_box,target,battery_2,1,282.4199,215.7372,ar=1.31
14:56:59,dual_x,target,battery_2,1,0.9754,0.9582,+17.2
14:56:59,dual_y,target,battery_2,1,-0.0695,-0.0654,-4.1
14:56:59,dual_yaw,target,battery_2,1,174.1606,174.1957,-0.04deg
