time,event,station,label,layers,measured_m,predicted_m,resid_mm
15:58:03,det_yaw,source,case,4,179.4158,-0.5842,conf=0.95
15:58:03,det_box,source,case,4,295.6700,201.0518,ar=1.47
15:58:11,anchor,source,case,4,0.8003,,
15:58:35,contact_wrench,target,case,1,6.2567,,fx=-3.7;fy=+3.1;mx=-1.10;my=-1.16;mz=+0.113
15:58:35,contact_yaw,target,case,1,179.3312,179.4105,-0.08deg
15:58:35,recover_step,target,case,1,,,a1;corner;dyaw=+0.0deg;dxy=(-35.6/+64.0)mm;contact;z=-39.1mm;fx=-2.6;fy=+2.9;mz=n/a
15:58:35,anchor,target,case,1,0.7297,,
15:58:38,place_chk_x,target,case,1,0.7482,0.7207,+27.5
15:58:38,place_chk_y,target,case,1,0.0419,0.0359,+6.0
15:58:38,place_chk_yaw,target,case,1,0.0612,-0.5842,+0.65deg
15:58:40,plane,source,battery_1,4,0.6453,0.6552,-9.9
15:58:42,det_yaw,source,battery_1,4,179.4518,-0.5482,conf=0.95
15:58:42,det_box,source,battery_1,4,290.1289,197.1309,ar=1.47
15:58:42,dual_x,source,battery_1,4,0.8402,0.8348,+5.4
15:58:42,dual_y,source,battery_1,4,0.1470,0.1445,+2.5
15:58:42,dual_yaw,source,battery_1,4,179.3492,179.3328,+0.02deg
15:58:50,anchor,source,battery_1,4,0.7981,,
15:58:52,plane,target,battery_1,1,0.5747,0.6138,-39.1
15:58:52,det_yaw,target,battery_1,1,1.7356,1.7356,conf=0.95
15:58:52,det_box,target,battery_1,1,316.4638,207.8366,ar=1.52
15:58:52,dual_x,target,battery_1,1,0.8261,0.8100,+16.1
15:58:52,dual_y,target,battery_1,1,0.1209,0.1180,+2.9
15:58:52,dual_yaw,target,battery_1,1,1.6021,2.1079,-0.51deg
15:59:09,contact_wrench,target,battery_1,1,51.6696,,fx=+2.1;fy=+5.6;mx=-2.31;my=+0.21;mz=-0.065
15:59:09,contact_yaw,target,battery_1,1,-177.6847,-177.6968,+0.01deg
15:59:09,place_force_limit,target,battery_1,1,0.7727,0.7297,+43.0
15:59:12,plane,source,battery_2,4,0.6453,0.6552,-9.9
