time,event,station,label,layers,measured_m,predicted_m,resid_mm
12:34:05,det_yaw,source,case,4,0.7930,0.7930,conf=0.96
12:34:05,det_box,source,case,4,285.0177,186.4954,ar=1.53
12:34:13,anchor,source,case,4,0.9276,,
12:34:31,contact_wrench,target,case,1,12.2093,,fx=+1.6;fy=-1.1;mx=-0.17;my=-0.47;mz=+0.074
12:34:31,contact_yaw,target,case,1,110.7572,110.8008,-0.04deg
12:34:31,recover_step,target,case,1,,,a1;corner;dyaw=+0.0deg;dxy=(-35.5/+8.4)mm;contact;z=-3.2mm;fx=+4.4;fy=-0.9;mz=n/a
12:34:31,anchor,target,case,1,0.8668,,
12:34:34,place_chk_x,target,case,1,0.7942,0.8037,-9.5
12:34:34,place_chk_y,target,case,1,-0.0039,0.0023,-6.3
12:34:34,place_chk_yaw,target,case,1,1.6194,0.7930,+0.83deg
12:34:38,plane,source,battery_1,4,0.7516,0.7752,-23.6
12:34:38,det_yaw,source,battery_1,4,0.9469,0.9469,conf=0.95
12:34:38,det_box,source,battery_1,4,293.5597,189.4322,ar=1.55
12:34:38,dual_x,source,battery_1,4,0.7679,0.7650,+2.9
12:34:38,dual_y,source,battery_1,4,0.1085,0.1094,-0.8
12:34:38,dual_yaw,source,battery_1,4,0.9801,1.1498,-0.17deg
12:34:45,anchor,source,battery_1,4,0.9279,,
12:34:49,plane,target,battery_1,1,0.6908,0.7338,-43.0
12:34:49,det_yaw,target,battery_1,1,179.7820,-0.2180,conf=0.96
12:34:49,det_box,target,battery_1,1,327.6233,222.9520,ar=1.47
12:34:49,dual_x,target,battery_1,1,0.8340,0.8162,+17.8
12:34:49,dual_y,target,battery_1,1,0.0357,0.0358,-0.0
12:34:49,dual_yaw,target,battery_1,1,179.7773,179.5374,+0.24deg
12:35:01,contact_wrench,target,battery_1,1,20.0483,,fx=+2.6;fy=-1.6;mx=+0.52;my=-0.11;mz=+0.016
12:35:01,contact_yaw,target,battery_1,1,111.1017,110.3628,+0.74deg
12:35:01,place_force_limit,target,battery_1,1,0.8903,0.8668,+23.5
12:35:05,plane,source,battery_2,4,0.7516,0.7752,-23.6
12:35:07,det_yaw,source,battery_2,4,1.7704,1.7704,conf=0.97
12:35:07,det_box,source,battery_2,4,284.5696,196.4616,ar=1.45
12:35:07,dual_x,source,battery_2,4,0.7581,0.7490,+9.2
12:35:07,dual_y,source,battery_2,4,-0.0738,-0.0681,-5.7
12:35:07,dual_yaw,source,battery_2,4,2.1436,1.6786,+0.46deg
