time,event,station,label,layers,measured_m,predicted_m,resid_mm
10:46:51,det_yaw,source,case,5,2.0198,2.0198,conf=0.96
10:46:51,det_box,source,case,5,303.2782,193.4735,ar=1.57
10:47:00,anchor,source,case,5,0.9420,,
10:47:13,contact_wrench,target,case,1,10.8986,,fx=-1.7;fy=+1.4;mx=-0.09;my=-0.06;mz=+0.093
10:47:13,contact_yaw,target,case,1,112.2327,112.0277,+0.20deg
10:47:13,anchor,target,case,1,0.8684,,
10:47:15,place_chk_x,target,case,1,0.8401,0.8176,+22.5
10:47:15,place_chk_y,target,case,1,0.0606,0.0727,-12.1
10:47:15,place_chk_yaw,target,case,1,1.2950,2.0198,-0.72deg
10:47:20,plane,source,battery_1,5,0.7660,0.7890,-23.0
10:47:24,det_yaw,source,battery_1,5,2.2493,2.2493,conf=0.97
10:47:24,det_box,source,battery_1,5,306.7691,200.6592,ar=1.53
10:47:24,dual_x,source,battery_1,5,0.7240,0.7132,+10.7
10:47:24,dual_y,source,battery_1,5,0.0765,0.0758,+0.6
10:47:24,dual_yaw,source,battery_1,5,2.1266,2.2699,-0.14deg
10:47:34,anchor,source,battery_1,5,0.9430,,
10:47:39,plane,target,battery_1,1,0.6924,0.7338,-41.4
10:47:42,det_yaw,target,battery_1,1,2.1961,2.1961,conf=0.95
10:47:42,det_box,target,battery_1,1,321.1666,217.4102,ar=1.48
10:47:42,dual_x,target,battery_1,1,0.8621,0.8326,+29.5
10:47:42,dual_y,target,battery_1,1,0.0678,0.0647,+3.2
10:47:42,dual_yaw,target,battery_1,1,2.5920,1.6084,+0.98deg
10:47:50,contact_wrench,target,battery_1,1,10.3637,,fx=-3.6;fy=+1.1;mx=-0.18;my=-0.17;mz=+0.104
10:47:50,contact_yaw,target,battery_1,1,113.0134,112.7769,+0.24deg
10:47:50,anchor,target,battery_1,1,0.8848,,
10:47:55,plane,source,battery_2,5,0.7660,0.7890,-23.0
10:47:57,det_yaw,source,battery_2,5,2.1405,2.1405,conf=0.96
10:47:57,det_box,source,battery_2,5,298.4663,199.4311,ar=1.50
10:47:57,dual_x,source,battery_2,5,0.7238,0.7167,+7.2
10:47:57,dual_y,source,battery_2,5,-0.0813,-0.0774,-3.9
10:47:57,dual_yaw,source,battery_2,5,2.5405,1.9401,+0.60deg
10:48:04,anchor,source,battery_2,5,0.9425,,
10:48:08,plane,target,battery_2,1,0.6924,0.7338,-41.4
10:48:09,det_yaw,target,battery_2,1,1.8204,1.8204,conf=0.96
10:48:09,det_box,target,battery_2,1,311.5666,219.4858,ar=1.42
10:48:09,dual_x,target,battery_2,1,0.8746,0.8466,+28.0
10:48:09,dual_y,target,battery_2,1,-0.0892,-0.0807,-8.5
10:48:09,dual_yaw,target,battery_2,1,1.9965,2.8109,-0.81deg
10:48:19,contact_wrench,target,battery_2,1,10.7127,,fx=-2.0;fy=+6.7;mx=+0.86;my=+0.04;mz=+0.051
10:48:19,contact_yaw,target,battery_2,1,112.6371,112.4012,+0.24deg
10:48:19,recover_step,target,battery_2,1,,,a1;force;dyaw=+0.0deg;dxy=(-2.4/+4.4)mm;contact;z=-1.4mm;fx=-2.0;fy=+6.7;mz=+0.051
10:48:19,recovered,target,battery_2,1,,,attempts=1
10:48:19,anchor,target,battery_2,1,0.8834,,
10:48:23,plane,source,case,4,0.7522,0.7752,-23.0
10:48:23,det_yaw,source,case,4,2.3831,2.3831,conf=0.97
10:48:23,det_box,source,case,4,311.7551,203.7394,ar=1.53
10:48:23,dual_x,source,case,4,0.7362,0.7231,+13.0
10:48:23,dual_y,source,case,4,-0.0905,-0.0853,-5.2
10:48:23,dual_yaw,source,case,4,2.1406,2.2981,-0.16deg
10:48:31,pitch,source,case,4,0.0107,0.0138,-3.1
10:48:31,contact,source,case,4,0.9313,0.9282,+3.1
10:48:35,plane,target,case,2,0.7062,0.7476,-41.4
10:48:35,det_yaw,target,case,2,2.1331,2.1331,conf=0.96
10:48:35,det_box,target,case,2,303.3339,211.7354,ar=1.43
10:48:35,dual_x,target,case,2,0.8725,0.8406,+31.9
10:48:35,dual_y,target,case,2,-0.0935,-0.0878,-5.7
10:48:35,dual_yaw,target,case,2,2.3319,3.0994,-0.77deg
10:48:48,contact_wrench,target,case,2,12.2413,,fx=-0.1;fy=+1.1;mx=-0.27;my=-0.17;mz=+0.008
10:48:48,contact_yaw,target,case,2,112.3451,112.1410,+0.20deg
10:48:48,recover_step,target,case,2,,,a1;force;dyaw=+0.0deg;dxy=(-4.6/+2.0)mm;contact;z=+5.9mm;fx=+0.0;fy=+3.7;mz=+0.111
10:48:48,recover_step,target,case,2,,,a2;force;dyaw=+0.0deg;dxy=(-4.6/+7.0)mm;contact;z=+5.6mm;fx=-0.2;fy=+1.0;mz=+0.098
10:48:48,recover_step,target,case,2,,,a3;force;dyaw=+0.0deg;dxy=(-5.4/+11.9)mm;contact;z=+5.5mm;fx=-0.1;fy=-2.1;mz=+0.053
10:48:48,recover_step,target,case,2,,,a4;force;dyaw=+0.0deg;dxy=(-5.6/+6.9)mm;contact;z=+4.6mm;fx=-0.1;fy=+1.1;mz=+0.008
10:48:48,recovered,target,case,2,,,attempts=4
10:48:48,pitch,target,case,2,0.0184,0.0138,+4.6
10:48:48,contact,target,case,2,0.8868,0.8822,+4.6
10:48:50,place_chk_x,target,case,2,0.8863,0.8639,+22.4
10:48:50,place_chk_y,target,case,2,-0.0981,-0.0932,-4.9
10:48:50,place_chk_yaw,target,case,2,2.0979,2.1331,-0.04deg
10:48:54,plane,source,battery_1,4,0.7522,0.7752,-23.0
10:48:59,det_yaw,source,battery_1,4,0.6387,0.6387,conf=0.96
10:48:59,det_box,source,battery_1,4,310.7995,210.2124,ar=1.48
10:48:59,dual_x,source,battery_1,4,0.7352,0.7234,+11.8
10:48:59,dual_y,source,battery_1,4,0.0542,0.0531,+1.1
10:48:59,dual_yaw,source,battery_1,4,0.6635,0.5458,+0.12deg
10:49:06,pitch,source,battery_1,4,0.0123,0.0138,-1.5
10:49:06,contact,source,battery_1,4,0.9307,0.9292,+1.5
10:49:11,plane,target,battery_1,2,0.7062,0.7476,-41.4
10:49:11,det_yaw,target,battery_1,2,0.3695,0.3695,conf=0.97
10:49:11,det_box,target,battery_1,2,316.5427,211.7625,ar=1.49
10:49:11,dual_x,target,battery_1,2,0.8685,0.8419,+26.6
10:49:11,dual_y,target,battery_1,2,0.0397,0.0394,+0.3
10:49:11,dual_yaw,target,battery_1,2,0.4477,0.5719,-0.12deg
10:49:21,contact_wrench,target,battery_1,2,10.2339,,fx=-5.1;fy=+2.4;mx=+0.01;my=+0.35;mz=+0.084
10:49:21,contact_yaw,target,battery_1,2,111.1769,110.9504,+0.23deg
10:49:21,recover_step,target,battery_1,2,,,a1;force;dyaw=+0.0deg;dxy=(-2.6/+4.3)mm;contact;z=-0.2mm;fx=-5.1;fy=+2.4;mz=+0.084
10:49:21,recovered,target,battery_1,2,,,attempts=1
10:49:21,pitch,target,battery_1,2,0.0136,0.0138,-0.2
10:49:21,contact,target,battery_1,2,0.8983,0.8986,-0.2
10:49:25,plane,source,battery_2,4,0.7522,0.7752,-23.0
10:49:28,det_yaw,source,battery_2,4,1.4858,1.4858,conf=0.96
10:49:28,det_box,source,battery_2,4,300.4099,201.5351,ar=1.49
10:49:28,dual_x,source,battery_2,4,0.7352,0.7203,+14.9
10:49:28,dual_y,source,battery_2,4,-0.0754,-0.0715,-4.0
10:49:28,dual_yaw,source,battery_2,4,0.8432,1.6711,-0.83deg
10:49:36,pitch,source,battery_2,4,0.0132,0.0138,-0.6
10:49:36,contact,source,battery_2,4,0.9293,0.9287,+0.6
10:49:40,plane,target,battery_2,2,0.7062,0.7476,-41.4
10:49:40,det_yaw,target,battery_2,2,0.9533,0.9533,conf=0.96
10:49:40,det_box,target,battery_2,2,314.4147,214.1585,ar=1.47
10:49:40,dual_x,target,battery_2,2,0.8756,0.8461,+29.5
10:49:40,dual_y,target,battery_2,2,-0.0865,-0.0770,-9.5
10:49:40,dual_yaw,target,battery_2,2,1.1495,0.8313,+0.32deg
10:49:50,contact_wrench,target,battery_2,2,11.0290,,fx=-9.1;fy=+6.4;mx=+0.92;my=+0.57;mz=-0.049
10:49:50,contact_yaw,target,battery_2,2,111.7574,111.5342,+0.22deg
10:49:50,recover_step,target,battery_2,2,,,a1;force;dyaw=+0.0deg;dxy=(-3.3/+3.8)mm;contact;z=-0.5mm;fx=-9.1;fy=+6.4;mz=-0.049
10:49:50,recovered,target,battery_2,2,,,attempts=1
10:49:50,pitch,target,battery_2,2,0.0133,0.0138,-0.5
10:49:50,contact,target,battery_2,2,0.8966,0.8972,-0.5
