time,event,station,label,layers,measured_m,predicted_m,resid_mm
13:40:52,det_yaw,source,case,4,0.6967,0.6967,conf=0.95
13:40:52,det_box,source,case,4,279.4486,194.3677,ar=1.44
13:41:00,anchor,source,case,4,0.7985,,
13:41:31,contact_wrench,target,case,1,6.5310,,fx=-0.7;fy=+29.8;mx=-6.12;my=-0.31;mz=+0.026
13:41:31,contact_yaw,target,case,1,-179.3646,-179.3086,-0.06deg
13:41:31,place_force_limit,target,case,1,0.8134,,
13:41:34,place_chk_x,target,case,1,0.9412,0.8464,+94.8
13:41:34,place_chk_y,target,case,1,-0.0191,0.0424,-61.5
13:41:34,place_chk_yaw,target,case,1,2.7280,0.6967,+2.03deg
13:41:36,plane,source,battery_1,4,0.6435,0.6552,-11.7
13:41:37,det_yaw,source,battery_1,4,1.3664,1.3664,conf=0.95
13:41:37,det_box,source,battery_1,4,286.3275,194.6826,ar=1.47
13:41:38,dual_x,source,battery_1,4,0.9032,0.8982,+5.0
13:41:38,dual_y,source,battery_1,4,0.1134,0.1123,+1.1
13:41:38,dual_yaw,source,battery_1,4,1.4839,1.3380,+0.15deg
13:41:48,anchor,source,battery_1,4,0.7960,,
13:41:50,det_yaw,target,battery_1,1,3.6561,3.6561,conf=0.94
13:41:50,det_box,target,battery_1,1,307.7197,203.1378,ar=1.51
13:42:02,contact_wrench,target,battery_1,1,2.4480,,fx=-3.1;fy=+0.1;mx=+0.23;my=-0.64;mz=-0.609
13:42:02,contact_yaw,target,battery_1,1,-175.7973,-175.7762,-0.02deg
13:42:02,recover_step,target,battery_1,1,,,a1;corner;dyaw=+0.0deg;dxy=(-18.2/+24.2)mm;contact;z=-20.5mm;fx=-4.1;fy=+4.5;mz=n/a
13:42:02,anchor,target,battery_1,1,0.7483,,
13:42:05,plane,source,battery_2,4,0.6435,0.6552,-11.7
13:42:05,det_yaw,source,battery_2,4,0.7979,0.7979,conf=0.95
13:42:05,det_box,source,battery_2,4,279.0904,194.6311,ar=1.43
13:42:05,dual_x,source,battery_2,4,0.9009,0.8933,+7.6
13:42:05,dual_y,source,battery_2,4,-0.0384,-0.0403,+1.8
13:42:05,dual_yaw,source,battery_2,4,0.0534,0.8128,-0.76deg
13:42:14,anchor,source,battery_2,4,0.7982,,
13:42:17,det_yaw,target,battery_2,1,2.2478,2.2478,conf=0.95
13:42:17,det_box,target,battery_2,1,306.8045,204.0307,ar=1.50
13:42:27,contact_wrench,target,battery_2,1,5.2220,,fx=-2.1;fy=+3.5;mx=-0.83;my=-0.49;mz=+0.098
13:42:27,contact_yaw,target,battery_2,1,-177.1247,-177.1845,+0.06deg
13:42:27,recover_step,target,battery_2,1,,,a1;corner;dyaw=+0.0deg;dxy=(-4.4/+5.8)mm;contact;z=-0.4mm;fx=-4.6;fy=+6.9;mz=n/a
13:42:27,anchor,target,battery_2,1,0.7478,,
13:42:30,plane,source,case,3,0.6297,0.6414,-11.7
13:42:30,det_yaw,source,case,3,0.0025,0.0025,conf=0.95
13:42:30,det_box,source,case,3,291.5855,200.1786,ar=1.46
13:42:30,dual_x,source,case,3,0.9073,0.9033,+4.0
13:42:30,dual_y,source,case,3,-0.0354,-0.0329,-2.5
13:42:30,dual_yaw,source,case,3,179.8566,179.7666,+0.09deg
13:42:37,pitch,source,case,3,0.0119,0.0138,-1.9
13:42:37,contact,source,case,3,0.7866,0.7847,+1.9
13:42:40,det_yaw,target,case,2,1.6488,1.6488,conf=0.94
13:42:40,det_box,target,case,2,297.5811,193.9070,ar=1.53
13:42:49,contact_wrench,target,case,2,17.3390,,fx=+11.2;fy=-14.9;mx=+2.57;my=+2.64;mz=-0.119
13:42:49,contact_yaw,target,case,2,-178.2309,-178.3565,+0.13deg
13:42:49,recover_step,target,case,2,,,a1;corner;dyaw=+0.0deg;dxy=(-48.0/+62.8)mm;contact;z=-5.6mm;fx=+0.9;fy=-0.1;mz=n/a
13:42:49,anchor,target,case,2,0.7507,,
13:42:52,place_chk_x,target,case,2,0.9108,0.8941,+16.7
13:42:52,place_chk_y,target,case,2,-0.0686,-0.0595,-9.1
