time,event,station,label,layers,measured_m,predicted_m,resid_mm
15:00:13,det_yaw,source,case,4,177.2609,-2.7391,conf=0.97
15:00:13,det_box,source,case,4,296.5086,199.1581,ar=1.49
15:00:31,anchor,source,case,4,0.9292,,
15:00:49,contact_wrench,target,case,1,6.4860,,fx=-9.8;fy=-4.5;mx=-0.98;my=+1.53;mz=+0.551
15:00:49,contact_yaw,target,case,1,107.0021,107.2688,-0.27deg
15:00:49,place_misseat,target,case,1,0.8704,,
15:00:51,place_chk_x,target,case,1,0.9855,1.0029,-17.4
15:00:51,place_chk_y,target,case,1,-0.0070,0.0306,-37.6
15:00:51,place_chk_yaw,target,case,1,2.2077,-2.7391,+4.95deg
15:00:54,plane,source,battery_1,4,0.7742,0.7752,-1.0
15:00:55,det_yaw,source,battery_1,4,179.5143,-0.4857,conf=0.95
15:00:55,det_box,source,battery_1,4,281.6914,194.8731,ar=1.45
15:00:55,dual_x,source,battery_1,4,0.9663,0.9657,+0.6
15:00:55,dual_y,source,battery_1,4,0.1364,0.1358,+0.6
15:00:55,dual_yaw,source,battery_1,4,179.6433,179.3346,+0.31deg
15:01:02,anchor,source,battery_1,4,0.9269,,
15:01:07,det_yaw,target,battery_1,1,1.9550,1.9550,conf=0.94
15:01:07,det_box,target,battery_1,1,319.4962,211.1425,ar=1.51
15:01:15,contact_wrench,target,battery_1,1,11.2820,,fx=+2.3;fy=+1.4;mx=-0.31;my=+0.17;mz=+0.093
15:01:15,contact_yaw,target,battery_1,1,112.6785,112.5359,+0.14deg
15:01:15,recover_step,target,battery_1,1,,,a1;corner;dyaw=+0.0deg;dxy=(+0.0/+0.0)mm;contact;z=+11.1mm;fx=+1.4;fy=+0.3;mz=n/a
15:01:15,anchor,target,battery_1,1,0.8999,,
15:01:18,plane,source,battery_2,4,0.7742,0.7752,-1.0
15:01:18,det_yaw,source,battery_2,4,176.5766,-3.4234,conf=0.96
15:01:18,det_box,source,battery_2,4,295.2957,197.5508,ar=1.49
15:01:18,dual_x,source,battery_2,4,0.9804,0.9807,-0.3
15:01:18,dual_y,source,battery_2,4,-0.0271,-0.0270,-0.1
15:01:18,dual_yaw,source,battery_2,4,176.7276,176.6102,+0.12deg
15:01:24,anchor,source,battery_2,4,0.9268,,
15:01:32,det_yaw,divert,battery_2,1,176.2973,-3.7027,conf=0.96
15:01:32,det_box,divert,battery_2,1,310.9349,213.6988,ar=1.46
15:01:46,plane,source,case,3,0.7604,0.7614,-1.0
15:01:49,det_yaw,source,case,3,176.4248,-3.5752,conf=0.96
15:01:49,det_box,source,case,3,296.0934,198.8447,ar=1.49
15:01:49,dual_x,source,case,3,0.9856,0.9890,-3.4
15:01:49,dual_y,source,case,3,-0.0873,-0.0866,-0.7
15:01:49,dual_yaw,source,case,3,176.6237,175.7616,+0.86deg
15:01:56,pitch,source,case,3,0.0119,0.0138,-1.9
15:01:56,contact,source,case,3,0.9172,0.9154,+1.9
15:01:59,det_yaw,target,case,2,0.5918,0.5918,conf=0.96
15:01:59,det_box,target,case,2,302.2729,211.5965,ar=1.43
15:02:08,contact_wrench,target,case,2,14.2440,,fx=+4.0;fy=+3.9;mx=+0.06;my=-0.47;mz=-0.229
15:02:08,contact_yaw,target,case,2,110.7545,110.5997,+0.15deg
15:02:08,recover_step,target,case,2,,,a1;corner;dyaw=+0.0deg;dxy=(-17.8/+35.0)mm;contact;z=-13.2mm;fx=+1.4;fy=+1.7;mz=n/a
15:02:08,anchor,target,case,2,0.8894,,
15:02:10,place_chk_x,target,case,2,0.9129,0.8930,+19.9
15:02:10,place_chk_y,target,case,2,-0.1143,-0.1012,-13.1
15:02:10,place_chk_yaw,target,case,2,1.1339,0.5918,+0.54deg
15:02:13,plane,source,battery_1,3,0.7604,0.7614,-1.0
15:02:15,det_yaw,source,battery_1,3,178.0457,-1.9543,conf=0.96
15:02:15,det_box,source,battery_1,3,281.1409,191.3771,ar=1.47
15:02:16,dual_x,source,battery_1,3,0.9832,0.9818,+1.4
15:02:16,dual_y,source,battery_1,3,0.1141,0.1140,+0.0
15:02:16,dual_yaw,source,battery_1,3,177.8468,177.8348,+0.01deg
15:02:22,pitch,source,battery_1,3,0.0144,0.0138,+0.6
15:02:22,contact,source,battery_1,3,0.9125,0.9131,-0.6
15:02:24,plane,target,battery_1,2,0.7344,0.7476,-13.2
15:02:25,det_yaw,target,battery_1,2,2.3826,2.3826,conf=0.96
15:02:25,det_box,target,battery_1,2,326.6030,203.3864,ar=1.61
15:02:25,dual_x,target,battery_1,2,0.9146,0.9057,+9.0
15:02:25,dual_y,target,battery_1,2,0.0934,0.0899,+3.6
15:02:25,dual_yaw,target,battery_1,2,2.6731,2.7407,-0.07deg
15:02:37,contact_wrench,target,battery_1,2,8.9650,,fx=+1.2;fy=+2.2;mx=+0.36;my=-0.22;mz=+0.075
15:02:37,contact_yaw,target,battery_1,2,112.9587,112.9634,-0.00deg
15:02:37,place_misseat,target,battery_1,2,0.9395,0.9137,+25.8
