time,event,station,label,layers,measured_m,predicted_m,resid_mm
17:17:32,det_yaw,source,case,4,175.8983,-4.1017,conf=0.95
17:17:32,det_box,source,case,4,282.2998,198.7845,ar=1.42
17:17:41,anchor,source,case,4,0.8032,,
17:17:58,contact_wrench,target,case,1,17.6975,,fx=+1.6;fy=-0.5;mx=-0.32;my=+0.14;mz=+0.036
17:17:58,contact_yaw,target,case,1,175.9659,175.8930,+0.07deg
17:17:58,recover_step,target,case,1,,,a1;corner;dyaw=+0.0deg;dxy=(-39.2/+62.6)mm;contact;z=-41.0mm;fx=+0.9;fy=+0.4;mz=n/a
17:17:58,anchor,target,case,1,0.7278,,
17:18:01,place_chk_x,target,case,1,0.7349,0.7208,+14.1
17:18:01,place_chk_y,target,case,1,0.0377,0.0301,+7.6
17:18:01,place_chk_yaw,target,case,1,176.7989,-4.1017,+0.90deg
17:18:03,plane,source,battery_1,4,0.6482,0.6552,-7.0
17:18:03,det_yaw,source,battery_1,4,175.7044,-4.2956,conf=0.96
17:18:03,det_box,source,battery_1,4,283.7766,194.8365,ar=1.46
17:18:03,dual_x,source,battery_1,4,0.8955,0.8928,+2.7
17:18:03,dual_y,source,battery_1,4,0.1170,0.1162,+0.8
17:18:03,dual_yaw,source,battery_1,4,175.5509,175.8788,-0.33deg
17:18:12,anchor,source,battery_1,4,0.7997,,
17:18:14,plane,target,battery_1,1,0.5728,0.6138,-41.0
17:18:15,det_yaw,target,battery_1,1,175.9754,-4.0246,conf=0.95
17:18:15,det_box,target,battery_1,1,312.7181,211.8121,ar=1.48
17:18:15,dual_x,target,battery_1,1,0.7372,0.7257,+11.5
17:18:15,dual_y,target,battery_1,1,0.0999,0.0916,+8.3
17:18:15,dual_yaw,target,battery_1,1,176.1536,176.2935,-0.14deg
17:18:28,contact_wrench,target,battery_1,1,-7.6120,,fx=-2.4;fy=+1.0;mx=+0.65;my=+0.06;mz=-0.093
17:18:28,contact_yaw,target,battery_1,1,176.5249,176.5430,-0.02deg
17:18:28,place_misseat,target,battery_1,1,0.7635,0.7278,+35.8
17:18:31,plane,source,battery_2,4,0.6482,0.6552,-7.0
17:18:31,det_yaw,source,battery_2,4,174.4928,-5.5072,conf=0.95
17:18:31,det_box,source,battery_2,4,279.9197,196.5078,ar=1.42
17:18:31,dual_x,source,battery_2,4,0.9038,0.9009,+3.0
17:18:31,dual_y,source,battery_2,4,-0.0453,-0.0446,-0.7
17:18:31,dual_yaw,source,battery_2,4,174.6541,174.7475,-0.09deg
17:18:39,anchor,source,battery_2,4,0.8031,,
17:18:41,plane,target,battery_2,1,0.5728,0.6138,-41.0
17:18:41,det_yaw,target,battery_2,1,178.6135,-1.3865,conf=0.95
17:18:41,det_box,target,battery_2,1,320.6774,213.6863,ar=1.50
17:18:42,dual_x,target,battery_2,1,0.7855,0.7697,+15.9
17:18:42,dual_y,target,battery_2,1,-0.0991,-0.0898,-9.2
17:18:42,dual_yaw,target,battery_2,1,178.8530,179.0090,-0.16deg
17:18:54,contact_wrench,target,battery_2,1,-5.4400,,fx=-1.1;fy=+0.4;mx=+0.66;my=+0.07;mz=-0.072
17:18:54,contact_yaw,target,battery_2,1,179.1484,179.1811,-0.03deg
17:18:54,place_misseat,target,battery_2,1,0.7623,0.7278,+34.5
17:18:56,plane,source,case,3,0.6344,0.6414,-7.0
17:18:56,det_yaw,source,case,3,174.2565,-5.7435,conf=0.95
17:18:56,det_box,source,case,3,292.5929,202.5417,ar=1.44
17:18:56,dual_x,source,case,3,0.9175,0.9126,+4.9
17:18:56,dual_y,source,case,3,-0.0549,-0.0541,-0.8
17:18:56,dual_yaw,source,case,3,174.5591,174.3840,+0.18deg
