time,event,station,label,layers,measured_m,predicted_m,resid_mm
11:00:23,det_yaw,source,case,5,177.7560,-2.2440,conf=0.96
11:00:23,det_box,source,case,5,305.6529,193.7496,ar=1.58
11:00:35,anchor,source,case,5,0.9406,,
11:00:59,contact_wrench,target,case,1,10.5443,,fx=-2.4;fy=-6.8;mx=-1.59;my=+0.13;mz=+0.249
11:00:59,contact_yaw,target,case,1,107.8020,107.7528,+0.05deg
11:00:59,anchor,target,case,1,0.8719,,
11:01:02,place_chk_x,target,case,1,0.9305,0.9235,+7.0
11:01:02,place_chk_y,target,case,1,-0.0283,-0.0037,-24.7
11:01:02,place_chk_yaw,target,case,1,175.8563,-2.2440,-1.90deg
11:01:07,plane,source,battery_1,5,0.7646,0.7790,-14.4
11:01:07,det_yaw,source,battery_1,5,177.9780,-2.0220,conf=0.96
11:01:07,det_box,source,battery_1,5,311.6993,201.6774,ar=1.55
11:01:07,dual_x,source,battery_1,5,0.8092,0.7998,+9.4
11:01:07,dual_y,source,battery_1,5,0.0755,0.0768,-1.3
11:01:07,dual_yaw,source,battery_1,5,177.9049,178.0173,-0.11deg
