time,event,station,label,layers,measured_m,predicted_m,resid_mm
15:20:34,det_yaw,source,case,5,179.8197,-0.1803,conf=0.97
15:20:34,det_box,source,case,5,295.0966,195.9112,ar=1.51
15:20:44,anchor,source,case,5,0.9462,,
15:21:07,contact_wrench,target,case,1,12.5480,,fx=-1.8;fy=+1.4;mx=-0.12;my=-0.13;mz=+0.077
15:21:07,contact_yaw,target,case,1,110.0508,109.8276,+0.22deg
15:21:07,anchor,target,case,1,0.8673,,
15:21:08,place_chk_x,target,case,1,0.7231,0.7153,+7.8
15:21:08,place_chk_y,target,case,1,0.0125,0.0231,-10.7
15:21:08,place_chk_yaw,target,case,1,0.9306,-0.1803,+1.11deg
15:21:13,plane,source,battery_1,5,0.7702,0.7890,-18.8
15:21:13,det_yaw,source,battery_1,5,179.4191,-0.5809,conf=0.96
15:21:13,det_box,source,battery_1,5,298.0739,190.6451,ar=1.56
15:21:13,dual_x,source,battery_1,5,0.7080,0.6972,+10.8
15:21:13,dual_y,source,battery_1,5,0.0940,0.0902,+3.8
15:21:13,dual_yaw,source,battery_1,5,179.1916,179.7715,-0.58deg
15:21:25,anchor,source,battery_1,5,0.9426,,
15:21:29,plane,target,battery_1,1,0.6913,0.7338,-42.5
15:21:31,det_yaw,target,battery_1,1,179.7256,-0.2744,conf=0.96
15:21:31,det_box,target,battery_1,1,325.0882,218.4728,ar=1.49
15:21:31,dual_x,target,battery_1,1,0.7269,0.7106,+16.3
15:21:31,dual_y,target,battery_1,1,0.0792,0.0743,+4.9
15:21:31,dual_yaw,target,battery_1,1,179.7828,0.6902,-0.91deg
15:21:40,contact_wrench,target,battery_1,1,10.6132,,fx=-3.1;fy=+0.9;mx=-0.24;my=-0.42;mz=+0.103
15:21:40,contact_yaw,target,battery_1,1,109.9538,109.7335,+0.22deg
15:21:40,anchor,target,battery_1,1,0.8851,,
15:21:44,plane,source,battery_2,5,0.7702,0.7890,-18.8
15:21:48,det_yaw,source,battery_2,5,177.6888,-2.3112,conf=0.96
15:21:48,det_box,source,battery_2,5,304.5956,201.6632,ar=1.51
15:21:48,dual_x,source,battery_2,5,0.7084,0.6999,+8.5
15:21:48,dual_y,source,battery_2,5,-0.0649,-0.0616,-3.3
15:21:48,dual_yaw,source,battery_2,5,177.8282,178.6489,-0.82deg
15:21:56,anchor,source,battery_2,5,0.9459,,
15:22:01,plane,target,battery_2,1,0.6913,0.7338,-42.5
15:22:01,det_yaw,target,battery_2,1,0.0149,0.0149,conf=0.96
15:22:01,det_box,target,battery_2,1,315.5942,211.6168,ar=1.49
15:22:01,dual_x,target,battery_2,1,0.7388,0.7163,+22.5
15:22:01,dual_y,target,battery_2,1,-0.0853,-0.0847,-0.6
15:22:01,dual_yaw,target,battery_2,1,0.0634,0.2684,-0.21deg
15:22:11,contact_wrench,target,battery_2,1,11.0910,,fx=-3.7;fy=+4.8;mx=+0.40;my=-0.39;mz=-0.062
15:22:11,contact_yaw,target,battery_2,1,110.1945,110.0228,+0.17deg
15:22:11,recover_step,target,battery_2,1,,,a1;force;dyaw=+0.0deg;dxy=(-1.6/+2.5)mm;contact;z=-0.1mm;fx=-3.7;fy=+4.8;mz=-0.062
15:22:11,recovered,target,battery_2,1,,,attempts=1
15:22:11,anchor,target,battery_2,1,0.8850,,
15:22:16,plane,source,case,4,0.7564,0.7752,-18.8
15:22:16,det_yaw,source,case,4,177.7777,-2.2223,conf=0.96
15:22:16,det_box,source,case,4,305.1119,206.4688,ar=1.48
15:22:16,dual_x,source,case,4,0.7252,0.7195,+5.7
15:22:16,dual_y,source,case,4,-0.0838,-0.0790,-4.8
15:22:16,dual_yaw,source,case,4,177.7234,178.5361,-0.81deg
15:22:24,pitch,source,case,4,0.0140,0.0138,+0.2
15:22:24,contact,source,case,4,0.9323,0.9324,-0.2
15:22:29,plane,target,case,2,0.7051,0.7476,-42.5
15:22:29,det_yaw,target,case,2,177.1931,-2.8069,conf=0.96
15:22:29,det_box,target,case,2,320.1513,203.8054,ar=1.57
15:22:29,dual_x,target,case,2,0.7397,0.7154,+24.3
15:22:29,dual_y,target,case,2,-0.1052,-0.0956,-9.6
15:22:29,dual_yaw,target,case,2,177.4413,177.8311,-0.39deg
15:22:38,contact_wrench,target,case,2,10.3420,,fx=-0.3;fy=+4.2;mx=+0.31;my=-0.41;mz=+0.017
15:22:38,contact_yaw,target,case,2,107.4239,107.2009,+0.22deg
15:22:38,pitch,target,case,2,0.0165,0.0138,+2.7
15:22:38,contact,target,case,2,0.8839,0.8811,+2.7
15:22:40,place_chk_x,target,case,2,0.7448,0.7370,+7.7
15:22:40,place_chk_y,target,case,2,-0.1108,-0.1047,-6.1
15:22:40,place_chk_yaw,target,case,2,177.0703,-2.8069,-0.12deg
15:22:45,plane,source,battery_1,4,0.7564,0.7752,-18.8
15:22:50,det_yaw,source,battery_1,4,0.3461,0.3461,conf=0.97
15:22:50,det_box,source,battery_1,4,312.1702,200.1964,ar=1.56
15:22:50,dual_x,source,battery_1,4,0.7262,0.7151,+11.1
15:22:50,dual_y,source,battery_1,4,0.0707,0.0671,+3.6
15:22:50,dual_yaw,source,battery_1,4,0.0956,0.3088,-0.21deg
15:22:58,pitch,source,battery_1,4,0.0144,0.0138,+0.6
15:22:58,contact,source,battery_1,4,0.9282,0.9288,-0.6
15:23:02,plane,target,battery_1,2,0.7051,0.7476,-42.5
15:23:03,det_yaw,target,battery_1,2,178.9531,-1.0469,conf=0.96
15:23:03,det_box,target,battery_1,2,327.0946,215.4304,ar=1.52
