time,event,station,label,layers,measured_m,predicted_m,resid_mm
18:16:27,det_yaw,source,case,4,1.5142,1.5142,conf=0.95
18:16:27,det_box,source,case,4,290.9831,196.4534,ar=1.48
18:16:35,anchor,source,case,4,0.8039,,
18:16:50,contact_wrench,target,case,1,16.2075,,fx=+1.3;fy=-0.5;mx=-0.12;my=+0.13;mz=+0.039
18:16:50,contact_yaw,target,case,1,-178.4380,-178.4911,+0.05deg
18:16:50,recover_step,target,case,1,,,a1;corner;dyaw=+0.0deg;dxy=(-88.2/+72.2)mm;contact;z=-33.3mm;fx=+0.6;fy=-1.0;mz=n/a
18:16:50,anchor,target,case,1,0.7355,,
18:16:52,place_chk_x,target,case,1,0.8392,0.9139,-74.7
18:16:52,place_chk_y,target,case,1,0.0333,0.0195,+13.8
18:16:52,place_chk_yaw,target,case,1,0.1682,1.5142,-1.35deg
18:16:55,plane,source,battery_1,4,0.6489,0.6552,-6.3
18:16:55,det_yaw,source,battery_1,4,179.4011,-0.5989,conf=0.96
18:16:55,det_box,source,battery_1,4,279.2350,194.0965,ar=1.44
18:16:55,dual_x,source,battery_1,4,0.9387,0.9360,+2.7
18:16:55,dual_y,source,battery_1,4,0.1219,0.1212,+0.8
18:16:55,dual_yaw,source,battery_1,4,179.1441,179.4857,-0.34deg
