time,event,station,label,layers,measured_m,predicted_m,resid_mm
19:10:02,det_yaw,source,case,4,3.6238,3.6238,conf=0.95
19:10:02,det_box,source,case,4,281.1577,198.7360,ar=1.41
19:10:10,anchor,source,case,4,0.8015,,
19:10:25,contact_wrench,target,case,1,10.9130,,fx=+0.9;fy=-2.1;mx=-0.00;my=+0.09;mz=-0.022
19:10:25,contact_yaw,target,case,1,-176.3379,-176.3815,+0.04deg
19:10:25,recover_step,target,case,1,,,a1;corner;dyaw=+0.0deg;dxy=(-101.0/+75.8)mm;contact;z=-30.6mm;fx=+0.7;fy=-1.7;mz=n/a
19:10:25,anchor,target,case,1,0.7382,,
19:10:27,place_chk_x,target,case,1,0.8971,0.9577,-60.6
19:10:27,place_chk_y,target,case,1,0.0405,0.0283,+12.2
19:10:27,place_chk_yaw,target,case,1,3.2533,3.6238,-0.37deg
19:10:29,plane,source,battery_1,4,0.6465,0.6552,-8.7
19:10:29,det_yaw,source,battery_1,4,5.2132,5.2132,conf=0.95
19:10:29,det_box,source,battery_1,4,285.8134,195.5343,ar=1.46
19:10:30,dual_x,source,battery_1,4,0.8918,0.8865,+5.3
19:10:30,dual_y,source,battery_1,4,0.1286,0.1276,+0.9
19:10:30,dual_yaw,source,battery_1,4,5.2643,5.1090,+0.16deg
19:10:37,anchor,source,battery_1,4,0.8014,,
19:10:43,det_yaw,divert,battery_1,1,2.5497,2.5497,conf=0.95
19:10:43,det_box,divert,battery_1,1,294.3459,200.6495,ar=1.47
19:10:57,plane,source,battery_2,4,0.6465,0.6552,-8.7
19:10:58,det_yaw,source,battery_2,4,2.9005,2.9005,conf=0.95
19:10:58,det_box,source,battery_2,4,280.0469,196.3567,ar=1.43
19:10:58,dual_x,source,battery_2,4,0.8784,0.8736,+4.8
19:10:58,dual_y,source,battery_2,4,-0.0510,-0.0477,-3.4
19:10:58,dual_yaw,source,battery_2,4,2.9273,2.6697,+0.26deg
19:11:06,anchor,source,battery_2,4,0.7986,,
19:11:12,det_yaw,divert,battery_2,1,3.4986,3.4986,conf=0.95
19:11:12,det_box,divert,battery_2,1,299.4750,202.2113,ar=1.48
19:11:27,plane,source,case,3,0.6327,0.6414,-8.7
19:11:30,det_yaw,source,case,3,2.4983,2.4983,conf=0.95
19:11:30,det_box,source,case,3,285.4646,201.5988,ar=1.42
19:11:30,dual_x,source,case,3,0.8787,0.8735,+5.2
19:11:30,dual_y,source,case,3,-0.0647,-0.0638,-0.9
19:11:30,dual_yaw,source,case,3,2.5923,2.2985,+0.29deg
19:11:38,pitch,source,case,3,0.0148,0.0138,+1.0
19:11:38,contact,source,case,3,0.7866,0.7877,-1.0
19:11:41,plane,target,case,2,0.5970,0.6276,-30.6
19:11:41,det_yaw,target,case,2,3.2832,3.2832,conf=0.94
19:11:41,det_box,target,case,2,302.5865,204.1509,ar=1.48
19:11:41,dual_x,target,case,2,0.8765,0.8609,+15.6
19:11:41,dual_y,target,case,2,-0.0339,-0.0318,-2.1
19:11:41,dual_yaw,target,case,2,3.3492,3.4395,-0.09deg
19:11:56,contact_wrench,target,case,2,1.4380,,fx=+0.3;fy=+26.3;mx=-4.48;my=-0.22;mz=+0.751
19:11:56,contact_yaw,target,case,2,-176.5069,-176.7221,+0.22deg
19:11:56,place_force_limit,target,case,2,0.8013,0.7520,+49.3
19:11:58,place_chk_x,target,case,2,0.8767,0.8653,+11.3
19:11:58,place_chk_y,target,case,2,-0.0359,-0.0338,-2.1
19:11:58,place_chk_yaw,target,case,2,2.7854,3.2832,-0.50deg
19:12:00,plane,source,battery_1,3,0.6327,0.6414,-8.7
19:12:00,det_yaw,source,battery_1,3,2.7614,2.7614,conf=0.95
19:12:00,det_box,source,battery_1,3,279.4455,196.3848,ar=1.42
19:12:00,dual_x,source,battery_1,3,0.8778,0.8750,+2.8
19:12:00,dual_y,source,battery_1,3,0.1062,0.1054,+0.8
19:12:00,dual_yaw,source,battery_1,3,2.5847,2.6080,-0.02deg
19:12:09,pitch,source,battery_1,3,0.0139,0.0138,+0.1
19:12:09,contact,source,battery_1,3,0.7875,0.7876,-0.1
19:12:11,plane,target,battery_1,2,0.5970,0.6276,-30.6
19:12:11,det_yaw,target,battery_1,2,5.4835,5.4835,conf=0.95
19:12:11,det_box,target,battery_1,2,318.0618,207.6922,ar=1.53
19:12:11,dual_x,target,battery_1,2,0.8889,0.8741,+14.8
19:12:11,dual_y,target,battery_1,2,0.1405,0.1348,+5.8
19:12:11,dual_yaw,target,battery_1,2,5.5434,6.8324,-1.29deg
19:12:21,contact_wrench,target,battery_1,2,3.3065,,fx=+0.7;fy=-2.4;mx=+0.49;my=+0.04;mz=+0.008
19:12:21,contact_yaw,target,battery_1,2,-173.9387,-173.9488,+0.01deg
19:12:21,recover_step,target,battery_1,2,,,a1;corner;dyaw=+0.0deg;dxy=(-1.4/+1.5)mm;contact;z=+20.0mm;fx=+0.2;fy=-1.4;mz=n/a
19:12:21,anchor,target,battery_1,2,0.7720,,
19:12:24,plane,source,battery_2,3,0.6327,0.6414,-8.7
19:12:24,det_yaw,source,battery_2,3,1.6649,1.6649,conf=0.96
19:12:24,det_box,source,battery_2,3,278.2984,195.8227,ar=1.42
19:12:24,dual_x,source,battery_2,3,0.8736,0.8696,+4.0
19:12:24,dual_y,source,battery_2,3,-0.0507,-0.0494,-1.4
19:12:24,dual_yaw,source,battery_2,3,2.2478,1.8563,+0.39deg
19:12:33,pitch,source,battery_2,3,0.0147,0.0138,+0.9
19:12:33,contact,source,battery_2,3,0.7839,0.7848,-0.9
19:12:35,plane,target,battery_2,2,0.5970,0.6276,-30.6
19:12:35,det_yaw,target,battery_2,2,3.7472,3.7472,conf=0.94
19:12:35,det_box,target,battery_2,2,319.9583,200.2834,ar=1.60
19:12:35,dual_x,target,battery_2,2,0.8789,0.8622,+16.7
19:12:35,dual_y,target,battery_2,2,-0.0170,-0.0174,+0.4
19:12:35,dual_yaw,target,battery_2,2,4.0678,3.9544,+0.11deg
19:12:48,contact_wrench,target,battery_2,2,3.2820,,fx=-3.2;fy=+2.5;mx=-0.70;my=-0.71;mz=-0.157
19:12:48,contact_yaw,target,battery_2,2,-175.6482,-175.6851,+0.04deg
19:12:48,recover_step,target,battery_2,2,,,a1;corner;dyaw=+0.0deg;dxy=(-8.9/+10.9)mm;contact;z=-13.5mm;fx=-2.6;fy=+3.8;mz=n/a
19:12:48,anchor,target,battery_2,2,0.7585,,
19:12:50,plane,source,case,2,0.6189,0.6276,-8.7
19:12:50,det_yaw,source,case,2,2.4325,2.4325,conf=0.95
19:12:50,det_box,source,case,2,282.2095,200.4422,ar=1.41
19:12:50,dual_x,source,case,2,0.8774,0.8752,+2.1
19:12:50,dual_y,source,case,2,-0.0430,-0.0426,-0.4
19:12:50,dual_yaw,source,case,2,2.7528,2.6782,+0.07deg
19:12:59,pitch,source,case,2,0.0139,0.0138,+0.1
19:12:59,contact,source,case,2,0.7736,0.7739,-0.2
19:13:01,plane,target,case,3,0.6108,0.6414,-30.6
19:13:01,det_yaw,target,case,3,5.5863,5.5863,conf=0.94
19:13:01,det_box,target,case,3,303.4370,203.4926,ar=1.49
19:13:02,dual_x,target,case,3,0.8683,0.8535,+14.8
19:13:02,dual_y,target,case,3,-0.0176,-0.0171,-0.4
19:13:02,dual_yaw,target,case,3,4.7885,4.6457,+0.14deg
